City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gampaha,7.0897,79.9925,23.96,94,20,1.54,LK,1676170605
1,atuona,-9.8,-139.0333,26.06,74,8,6.34,PF,1676170605
2,carnarvon,-24.8667,113.6333,29.02,52,1,6.53,AU,1676170606
3,simao,22.7886,100.9748,20.71,25,4,1.74,CN,1676170606
4,griffith,41.5284,-87.4237,3.36,74,0,2.06,US,1676170333
5,damghan,36.1683,54.348,-0.63,53,98,2.01,IR,1676170607
6,albany,42.6001,-73.9662,-2.49,75,25,1.72,US,1676170414
7,ancud,-41.8697,-73.8203,13.63,98,100,1.52,CL,1676170607
8,garmsar,35.2182,52.3409,3.49,52,100,3.36,IR,1676170608
9,kapaa,22.0752,-159.319,25.99,82,100,8.23,US,1676170608
10,vanderhoof,54.0166,-124.0198,-1.78,96,100,1.27,CA,1676170609
11,konde,-4.95,39.75,26.1,72,35,4.77,TZ,1676170609
12,jamestown,42.097,-79.2353,1.51,73,0,4.12,US,1676170447
13,longyearbyen,78.2186,15.6401,-10.09,73,0,6.17,SJ,1676170610
14,souillac,-20.5167,57.5167,23.21,83,20,0.0,MU,1676170610
15,puerto rondon,6.2805,-71.1,25.74,63,76,2.9,CO,1676170610
16,astana,51.1801,71.446,-24.03,77,75,3.0,KZ,1676170611
17,bonthe,7.5264,-12.505,23.64,86,2,2.52,SL,1676170611
18,watsa,3.0372,29.5355,18.84,53,7,0.62,CD,1676170612
19,bahia blanca,-38.7196,-62.2724,30.72,46,42,0.89,AR,1676170612
20,nanortalik,60.1432,-45.2371,-14.03,66,95,6.17,GL,1676170613
21,avarua,-21.2078,-159.775,28.03,78,100,1.54,CK,1676170477
22,vaini,-21.2,-175.2,27.09,94,75,2.06,TO,1676170613
23,flin flon,54.7682,-101.865,-11.53,96,100,3.32,CA,1676170614
24,san cristobal,7.7669,-72.225,23.1,93,58,0.74,VE,1676170614
25,port alfred,-33.5906,26.891,21.77,96,100,3.72,ZA,1676170615
26,poum,-20.2333,164.0167,26.25,68,32,7.85,NC,1676170616
27,narsaq,60.9167,-46.05,-24.84,71,27,4.27,GL,1676170616
28,elizabeth city,36.2946,-76.2511,7.79,66,20,5.14,US,1676170616
29,samarai,-10.6167,150.6667,28.73,71,91,0.89,PG,1676170617
30,nova olinda do norte,-3.8881,-59.0942,22.38,99,100,0.75,BR,1676170617
31,nong han,17.3608,103.1053,33.41,37,0,1.68,TH,1676170618
32,puerto ayora,-0.7393,-90.3518,25.86,95,40,0.89,EC,1676170618
33,sri aman,1.2376,111.4621,28.03,89,40,0.0,MY,1676170619
34,busselton,-33.65,115.3333,24.9,36,0,2.29,AU,1676170619
35,tuktoyaktuk,69.4541,-133.0374,-30.0,69,20,3.09,CA,1676170620
36,sitka,57.0531,-135.33,4.94,81,100,7.72,US,1676170620
37,noumea,-22.2763,166.4572,28.99,62,2,8.99,NC,1676170050
38,praia,14.9215,-23.5087,21.3,73,75,6.17,CV,1676170397
39,severo-kurilsk,50.6789,156.125,-6.07,58,100,4.52,RU,1676170621
40,kieta,-6.2167,155.6333,29.96,67,100,3.78,PG,1676170621
41,acapulco,16.8634,-99.8901,27.9,74,0,2.57,MX,1676170092
42,rikitea,-23.1203,-134.9692,26.06,70,17,4.23,PF,1676170622
43,yaan,7.3833,8.5667,24.45,13,56,1.96,NG,1676170623
44,mitsamiouli,-11.3847,43.2844,26.7,80,99,3.85,KM,1676170623
45,anadyr,64.75,177.4833,-31.72,75,40,5.0,RU,1676170624
46,ixtapa,20.7,-105.2,22.9,82,2,1.28,MX,1676170625
47,hobart,-42.8794,147.3294,20.59,56,75,7.72,AU,1676170478
48,hermanus,-34.4187,19.2345,21.0,90,46,3.22,ZA,1676170625
49,olafsvik,64.8945,-23.7142,1.98,71,78,17.01,IS,1676170626
50,torbay,47.6666,-52.7314,-6.35,80,100,10.8,CA,1676170627
51,bluff,-46.6,168.3333,19.33,73,60,3.71,NZ,1676170627
52,andenes,69.3143,16.1194,0.99,93,100,12.86,NO,1676170628
53,pisco,-13.7,-76.2167,24.03,83,75,1.03,PE,1676170628
54,klaksvik,62.2266,-6.589,8.51,86,100,12.3,FO,1676170629
55,miandrivazo,-19.5167,45.4667,23.9,88,27,0.89,MG,1676170629
56,bahsuma,29.2167,77.9667,14.79,28,0,3.11,IN,1676170630
57,ambon,-3.6954,128.1814,32.08,62,40,5.66,ID,1676170630
58,raeren,50.6677,6.1168,5.14,95,77,0.18,BE,1676170631
59,mataura,-46.1927,168.8643,19.15,36,50,0.65,NZ,1676170631
60,norman wells,65.282,-126.8329,-24.98,70,75,1.54,CA,1676170632
61,bredasdorp,-34.5322,20.0403,19.71,92,0,3.11,ZA,1676170632
62,kindu,-2.95,25.95,20.26,97,100,1.01,CD,1676170633
63,lata,40.1629,-8.3327,7.26,60,73,4.86,PT,1676170634
64,ekibastuz,51.6667,75.3667,-16.23,95,88,3.59,KZ,1676170634
65,pevek,69.7008,170.3133,-34.88,100,99,0.78,RU,1676170635
66,saint-philippe,-21.3585,55.7679,24.77,80,44,4.6,RE,1676170635
67,kavieng,-2.5744,150.7967,26.76,83,99,4.2,PG,1676170636
68,itaituba,-4.2761,-55.9836,22.98,99,97,0.52,BR,1676170636
69,bethel,41.3712,-73.414,1.38,66,0,1.54,US,1676170637
70,agadez,19.75,10.25,14.85,27,3,4.21,NE,1676170637
71,khatanga,71.9667,102.5,-35.59,99,32,2.81,RU,1676170638
72,batagay-alyta,67.8006,130.4114,-38.52,94,63,0.98,RU,1676170638
73,sendhwa,21.6833,75.1,21.07,23,0,2.44,IN,1676170639
74,yulara,-25.2406,130.9889,37.31,13,4,3.09,AU,1676170640
75,shenzhen,22.5455,114.0683,23.92,99,83,3.73,CN,1676170557
76,castro,-24.7911,-50.0119,16.88,96,84,1.42,BR,1676170640
77,tanout,14.9709,8.8879,17.64,21,0,8.43,NE,1676170641
78,havelock,34.8791,-76.9013,7.99,85,100,4.63,US,1676170432
79,cedartown,34.0537,-85.255,6.61,87,100,6.85,US,1676170642
80,collie,-33.3667,116.15,27.04,26,0,2.87,AU,1676170642
81,emerald,-23.5333,148.1667,35.19,35,0,2.66,AU,1676170643
82,hilo,19.7297,-155.09,22.85,86,100,4.12,US,1676170643
83,kaitangata,-46.2817,169.8464,19.67,65,26,4.51,NZ,1676170644
84,ushuaia,-54.8,-68.3,5.81,87,0,2.57,AR,1676170644
85,mayo,38.8876,-76.5119,6.18,70,0,0.89,US,1676170645
86,tubinskiy,52.8892,58.2225,-18.97,100,97,2.68,RU,1676170645
87,tura,25.5198,90.2201,21.89,37,0,1.63,IN,1676170646
88,provideniya,64.3833,-173.3,-28.08,94,44,3.5,RU,1676170647
89,ponta delgada,37.7333,-25.6667,10.4,81,20,1.03,PT,1676170647
90,saint anthony,45.0205,-93.218,-0.12,83,0,3.09,US,1676170648
91,barrow,71.2906,-156.7887,-25.99,76,0,7.2,US,1676170648
92,doha,25.2867,51.5333,16.99,88,0,1.54,QA,1676170649
93,upernavik,72.7868,-56.1549,-27.68,93,100,4.36,GL,1676170649
94,san quintin,30.4833,-115.95,13.0,73,1,6.84,MX,1676170650
95,yumen,40.2833,97.2,-4.49,51,82,4.7,CN,1676170651
96,taltal,-25.4,-70.4833,20.39,88,5,1.2,CL,1676170651
97,tasiilaq,65.6145,-37.6368,-18.43,86,17,2.57,GL,1676170652
98,yellowknife,62.456,-114.3525,-16.71,85,100,2.57,CA,1676170653
99,punta arenas,-53.15,-70.9167,9.06,71,75,4.63,CL,1676170653
100,guerrero negro,27.9769,-114.0611,14.58,73,0,5.57,MX,1676170654
101,bengkulu,-3.8004,102.2655,26.68,73,100,3.66,ID,1676170654
102,huilong,31.8111,121.655,9.96,99,100,3.42,CN,1676170655
103,ribeira grande,38.5167,-28.7,13.69,63,67,4.25,PT,1676170656
104,cape town,-33.9258,18.4232,22.16,82,75,4.12,ZA,1676170516
105,sur,22.5667,59.5289,21.1,69,0,3.45,OM,1676170656
106,wukari,7.85,9.7833,23.12,15,8,2.67,NG,1676170657
107,sangueya,10.7,-14.3667,21.76,87,32,0.7,GN,1676170657
108,mae sai,20.4335,99.8762,25.9,22,0,0.34,TH,1676170658
109,port moresby,-9.4431,147.1797,33.68,52,75,5.14,PG,1676170658
